story_key,comparison_type,variant,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio,tier2_types_retained,tier2_types_removed,tier2_types_added,low_frequency_tier2_types_retained
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.9373374581336975,0.6285253024837647,-27.606911928651073,5.813873354278201,5.212546278565014,-2.192616903757653,-25.596347046386427,-0.03163511928976524,african; ancestry; asian; attitude; bridge; census; change; class; defined; discrimination; discussion; diversity; equality; explicit; image; inequality; lecturer; likely; minority; need; periphery; population; prejudice; racial; society; sound; statistics; successful; suggestive; support; university,apparent; complex; contrast; cultural; cycle; define; demographic; goal; however; important; largely; latent; link; mainstream; natural; predominantly; profoundly; project; publication; relatively; result; social,describe; known; linked; low; reduced; shared,ancestry; asian; attitude; bridge; census; defined; discussion; diversity; equality; lecturer; minority; periphery; prejudice; statistics; successful; suggestive
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.0,0.918433427810669,0.7585915930251526,-30.243424317617837,7.0425023827727955,8.515389082462207,-2.6736104547081965,-12.050994421537709,-0.027285453921128397,african; ancestry; asian; bridge; census; change; class; define; defined; discrimination; diversity; equality; explicit; image; inequality; likely; minority; natural; need; population; racial; society; sound; statistics; successful; suggestive; support; university,apparent; attitude; complex; contrast; cultural; cycle; demographic; discussion; goal; however; important; largely; latent; lecturer; link; mainstream; periphery; predominantly; prejudice; profoundly; project; publication; relatively; result; social,known; linked; low; present; published; reduced,ancestry; asian; bridge; census; define; defined; diversity; equality; explicit; inequality; minority; natural; statistics; successful; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.2,0.9395503401756287,0.7001025128534837,-37.477427490542254,2.905684057670385,4.0688979184487835,-2.1950787920103068,-18.5,-0.026802085907122505,african; ancestry; asian; attitude; bridge; census; class; defined; discrimination; equality; explicit; image; inequality; lecturer; likely; link; mainstream; minority; natural; need; periphery; population; prejudice; racial; sound; statistics; successful; suggestive; support; university,apparent; change; complex; contrast; cultural; cycle; define; demographic; discussion; diversity; goal; however; important; largely; latent; predominantly; profoundly; project; publication; relatively; result; social; society,difference; known; low; mainly; present; reduced; shared,ancestry; asian; attitude; bridge; census; defined; equality; explicit; inequality; lecturer; link; minority; natural; periphery; prejudice; statistics; successful; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.5,0.90730220079422,0.5714413951221367,-29.035897435897425,4.608071992316354,2.467101511263138,-2.236328065338707,-22.2032237022796,-0.023394930881568854,african; ancestry; asian; attitude; bridge; census; change; class; define; defined; discrimination; diversity; equality; explicit; image; inequality; likely; link; minority; natural; need; periphery; population; racial; society; sound; statistics; successful; suggestive; support; university,apparent; complex; contrast; cultural; cycle; demographic; discussion; goal; however; important; largely; latent; lecturer; mainstream; predominantly; prejudice; profoundly; project; publication; relatively; result; social,accepted; common; known; level; low; mainly; present; reduced; shared,ancestry; asian; attitude; bridge; census; define; defined; diversity; equality; explicit; inequality; link; minority; natural; periphery; statistics; successful; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,0.9471563100814819,0.4423367761586071,-29.185897435897402,0.0019172774660205505,0.17992658158362929,-2.116739973988828,-21.283433866060335,-0.028406122162892344,african; ancestry; asian; bridge; census; class; defined; discrimination; diversity; equality; explicit; image; inequality; lecturer; likely; minority; need; periphery; population; prejudice; racial; social; society; statistics; successful; suggestive; support; university,apparent; attitude; change; complex; contrast; cultural; cycle; define; demographic; discussion; goal; however; important; largely; latent; link; mainstream; natural; predominantly; profoundly; project; publication; relatively; result; sound,argue; difference; known; linked; low; mainly; perform; present; published; reduced; strongly,ancestry; asian; bridge; census; defined; diversity; equality; explicit; inequality; lecturer; minority; periphery; prejudice; statistics; successful; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,0.9526429176330566,0.7037303607040692,-36.88703898840885,3.4295431720552756,4.210465529495366,-2.4838089677428243,-37.5530303030303,-0.02242578456318914,african; ancestry; asian; attitude; bridge; census; class; cycle; defined; discrimination; diversity; equality; explicit; image; inequality; likely; link; mainstream; minority; natural; need; periphery; population; prejudice; racial; social; society; sound; statistics; successful; suggestive; support; university,apparent; change; complex; contrast; cultural; define; demographic; discussion; goal; however; important; largely; latent; lecturer; predominantly; profoundly; project; publication; relatively; result,argue; difference; harmful; known; level; low; present; reduced; shared; subject,ancestry; asian; attitude; bridge; census; cycle; defined; diversity; equality; explicit; inequality; link; mainstream; minority; natural; periphery; prejudice; statistics; suggestive; support
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,0.9453333616256714,0.8296441821574218,-27.31843711843709,10.43476751901187,11.087614870509583,-2.4148315580079647,-16.737894548063124,-0.022433142914918353,african; ancestry; asian; attitude; bridge; census; change; class; defined; discrimination; equality; explicit; image; inequality; lecturer; likely; mainstream; minority; natural; need; periphery; population; prejudice; racial; social; society; sound; statistics; successful; suggestive; university,apparent; complex; contrast; cultural; cycle; define; demographic; discussion; diversity; goal; however; important; largely; latent; link; predominantly; profoundly; project; publication; relatively; result; support,argue; difference; focus; group; known; linked; low; mainly; reduced; shared,ancestry; asian; attitude; bridge; census; defined; equality; explicit; inequality; lecturer; minority; natural; periphery; prejudice; statistics; successful; suggestive
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.9298520684242249,0.6057210562616312,-24.54000000000002,4.668772775361447,7.362650951090529,-3.7691704067321155,1.9166580987748318,-0.03008532560573131,analogue; article; author; collected; content; creative; data; group; index; influence; intellectual; mp; need; poverty; science; society; technology,achieve; acquired; approach; creatively; critical; default; dialogue; distribute; emerge; established; existing; form; highly; independent; level; principle; robust; scale; subject; technical,affect; control; known; strongly; support,analogue; author; collected; data; group; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.9198912382125854,0.16729236500197353,-21.760869565217376,-4.184119456549638,-4.041148600143572,-3.734347826086953,27.216375808991046,-0.024062194951889562,analogue; article; author; collected; content; creative; data; dialogue; existing; index; influence; intellectual; mp; need; poverty; science; society; technology,achieve; acquired; approach; creatively; critical; default; distribute; emerge; established; form; group; highly; independent; level; principle; robust; scale; subject; technical,current; needed; sharing; strongly; system; use,analogue; author; collected; data; dialogue; existing; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.9181591272354126,0.774403001514717,-35.166666666666686,5.922563087580386,6.68424997917765,-2.8212791516630418,9.996609521098918,-0.03638613861386139,analogue; article; author; collected; content; creative; data; dialogue; index; intellectual; mp; poverty; science; society; technology,achieve; acquired; approach; creatively; critical; default; distribute; emerge; established; existing; form; group; highly; independent; influence; level; need; principle; robust; scale; subject; technical,common; control; needed; sharing; strongly; support,analogue; author; collected; data; dialogue; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.0,0.9341713190078735,0.37159475067401293,-18.46078431372547,0.9322988795165088,3.7474228284278297,-3.966037024320123,-17.18288306635114,-0.027116475692513076,analogue; approach; article; author; collected; content; creative; data; dialogue; group; index; influence; intellectual; mp; need; poverty; science; society; technology,achieve; acquired; creatively; critical; default; distribute; emerge; established; existing; form; highly; independent; level; principle; robust; scale; subject; technical,affect; control; sharing; strongly; support,analogue; approach; author; collected; data; dialogue; group; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.2,0.9340829253196716,0.7707129039995069,-29.923076923076906,7.236516575952464,9.165884366889372,-3.682610983981693,1.5724564654592825,-0.015611490726537447,analogue; article; author; collected; content; creative; data; dialogue; group; index; influence; intellectual; mp; need; poverty; science; society; subject; technology,achieve; acquired; approach; creatively; critical; default; distribute; emerge; established; existing; form; highly; independent; level; principle; robust; scale; technical,affect; control; current; known; sharing; strongly; support,analogue; author; collected; data; dialogue; group; influence; intellectual; poverty; society; subject; technology
copyright,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.5,0.9218333959579468,0.253817678217247,-14.949999999999989,0.021172298706687798,1.3979585427135248,-3.9321954956587604,1.8591793961240342,-0.0202096680256261,analogue; approach; article; author; content; creative; data; dialogue; group; index; influence; intellectual; mp; need; poverty; science; subject; technology,achieve; acquired; collected; creatively; critical; default; distribute; emerge; established; existing; form; highly; independent; level; principle; robust; scale; society; technical,active; affect; current; imagined; sharing; strongly; support,analogue; approach; author; data; dialogue; group; influence; intellectual; poverty; subject; technology
copyright,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,0.9709830284118652,-0.16540629257999395,-10.427272727272737,-8.177369945416103,-8.381063734514157,-3.1996385424377394,-6.379869430724199,-0.015563042790765563,analogue; approach; article; author; collected; content; creative; critical; data; default; dialogue; distribute; existing; group; independent; index; influence; intellectual; level; mp; need; poverty; science; society; subject; technology,achieve; acquired; creatively; emerge; established; form; highly; principle; robust; scale; technical,affect; change; needed; result; strongly,analogue; approach; author; collected; critical; data; default; dialogue; distribute; existing; group; independent; influence; intellectual; level; poverty; society; subject
copyright,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,0.953901469707489,0.07678321112518804,-17.69607843137254,-4.1881575870937695,-5.467569807801908,-3.788613091128333,-14.19075885780525,-0.02330323705945725,analogue; approach; article; author; collected; content; creative; data; dialogue; existing; group; independent; index; influence; intellectual; mp; poverty; science; society; technology,achieve; acquired; creatively; critical; default; distribute; emerge; established; form; highly; level; need; principle; robust; scale; subject; technical,active; affect; common; known; needed; strongly; support,analogue; approach; author; collected; data; dialogue; existing; group; independent; influence; intellectual; poverty; society; technology
copyright,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,0.9449994564056396,0.353434646523495,-21.982142857142833,0.5426740812378625,0.6395808831391037,-2.841795564206201,3.3409876530073745,-0.0187935460212688,analogue; approach; article; author; collected; content; creative; data; dialogue; group; independent; index; influence; intellectual; mp; need; science; society; technology,achieve; acquired; creatively; critical; default; distribute; emerge; established; existing; form; highly; level; poverty; principle; robust; scale; subject; technical,active; control; current; needed; shape; sharing; strongly; support,analogue; approach; author; collected; data; dialogue; group; independent; influence; intellectual; society; technology
crowdfunding,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.8490843176841736,1.1527825035594603,-49.07246376811594,12.315298620815327,9.231487976168864,-4.189455152808463,16.91906908302191,-0.016221920361035952,activity; card; change; efficient; focused; international; invention; project; rejected; test; testing,access; alternative; commercially; complex; conventional; example; expansion; experience; finding; generate; ground; growth; innovative; known; limited; production; successful; transaction; use; validate; vital; weight; whole; within,common; demand; expanding; goal; group; important; product; sending; support; useful,activity; card; change; efficient; focused; international; rejected; testing
crowdfunding,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.8312699794769287,1.0427606096084627,-49.41126158232362,10.54940352317027,5.207648476879285,-4.429960046203458,13.810936371763617,-0.019695001602591133,activity; card; change; focused; ground; international; invention; project; rejected; test; transaction,access; alternative; commercially; complex; conventional; efficient; example; expansion; experience; finding; generate; growth; innovative; known; limited; production; successful; testing; use; validate; vital; weight; whole; within,common; expanding; goal; group; important; interest; need; product; sending; support; waste; willingness,activity; card; change; focused; ground; international; rejected; transaction
crowdfunding,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.8201423287391663,1.101666094941113,-46.757312252964425,13.101368099146953,7.738960113960161,-4.362070519435843,6.151551670868827,-0.015388886919741482,activity; card; change; efficient; focused; ground; growth; international; invention; project; rejected; successful; test; use,access; alternative; commercially; complex; conventional; example; expansion; experience; finding; generate; innovative; known; limited; production; testing; transaction; validate; vital; weight; whole; within,common; goal; group; important; interest; need; product; received; sending; support; useful,activity; card; change; efficient; focused; ground; growth; international; invention; rejected; successful
crowdfunding,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.0,0.840078592300415,1.156089430710617,-44.75637181409297,14.764525993883751,10.366043447293464,-4.640434473149053,22.529972743845775,-0.02346105179682443,activity; card; change; experience; focused; ground; international; production; rejected; successful; test; use,access; alternative; commercially; complex; conventional; efficient; example; expansion; finding; generate; growth; innovative; invention; known; limited; project; testing; transaction; validate; vital; weight; whole; within,common; expanding; goal; group; important; need; product; sending; support; useful,activity; card; change; experience; focused; ground; international; rejected; successful
crowdfunding,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.2,0.8252476453781128,1.3015363408991405,-48.83772198407837,16.36020500622942,13.034685997436725,-4.480283266704735,10.020791435588876,-0.019380437274185973,activity; card; change; experience; focused; ground; growth; invention; production; project; rejected; successful; test; transaction,access; alternative; commercially; complex; conventional; efficient; example; expansion; finding; generate; innovative; international; known; limited; testing; use; validate; vital; weight; whole; within,goal; group; important; need; sending; support; useful; waste,activity; card; change; experience; focused; ground; invention; rejected; successful; transaction
crowdfunding,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.5,0.8215599060058594,1.0798233441071752,-41.48913043478262,13.38326933786675,10.274272919434225,-4.09843117965557,12.710683662921724,-0.013122489147725735,activity; alternative; card; change; efficient; experience; focused; ground; growth; international; invention; production; project; rejected; successful; test; testing; transaction; use,access; commercially; complex; conventional; example; expansion; finding; generate; innovative; known; limited; validate; vital; weight; whole; within,developed; expanding; goal; group; important; need; produce; sending; support; useful,activity; alternative; card; change; efficient; experience; focused; ground; growth; international; invention; rejected; successful; testing; transaction
crowdfunding,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,0.8619060516357422,1.21700799044069,-51.12374581939798,13.947116227429433,9.403305177498737,-3.8714870194558095,12.48782302861568,-0.015546783983487689,activity; card; change; focused; ground; international; invention; project; rejected; test; use,access; alternative; commercially; complex; conventional; efficient; example; expansion; experience; finding; generate; growth; innovative; known; limited; production; successful; testing; transaction; validate; vital; weight; whole; within,common; expanding; goal; group; important; improved; interest; need; product; sending; support; useful,activity; card; change; focused; ground; international; rejected
crowdfunding,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,0.8215634822845459,1.0804351260301759,-39.37549407114625,15.952365298986933,9.562678062678117,-3.6079042927038394,6.622769440648796,-0.014631854486878308,activity; card; change; efficient; experience; focused; ground; international; invention; production; project; successful; test; testing; transaction,access; alternative; commercially; complex; conventional; example; expansion; finding; generate; growth; innovative; known; limited; rejected; use; validate; vital; weight; whole; within,base; common; expanding; group; important; need; sending; support; useful; value,activity; card; change; efficient; experience; focused; ground; international; successful; testing; transaction
crowdfunding,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,0.8428420424461365,1.0929507294007739,-44.783248081841464,13.37368467332999,8.514940506117,-3.50909766829659,8.300640751240309,-0.019464103779495805,activity; alternative; card; change; focused; ground; international; invention; production; project; rejected; test; testing; use,access; commercially; complex; conventional; efficient; example; expansion; experience; finding; generate; growth; innovative; known; limited; successful; transaction; validate; vital; weight; whole; within,expanding; goal; group; important; product; support; system; useful; value,activity; alternative; card; change; focused; ground; international; invention; rejected; testing
everest,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.9056907296180725,-0.047150413671478875,-15.463440668920157,-8.014614337126773,-6.456768540989685,-3.1305755403755384,-9.990888099657013,-0.041910763605243706,address; agriculture; base; change; changing; class; climate; condition; demand; erosion; fixed; further; human; language; level; need; region; waste; western,both; challenge; combination; completed; continued; degradation; environmental; exponential; finding; flow; following; harvesting; identify; impact; include; increased; infrastructure; modern; network; numerous; planning; potential; previous; provide; rapid; sector; sequence,environment; growth,agriculture; class; condition; demand; erosion; further; language; need; western
everest,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.9321296215057373,-0.1906107000435361,-8.429707792207807,-9.978537724493265,-6.545077804412301,-3.1072870510477735,-19.03037075304877,-0.04107818064056976,base; both; challenge; change; changing; climate; demand; erosion; finding; fixed; human; need; provide; region; waste; western,address; agriculture; class; combination; completed; condition; continued; degradation; environmental; exponential; flow; following; further; harvesting; identify; impact; include; increased; infrastructure; language; level; modern; network; numerous; planning; potential; previous; rapid; sector; sequence,conflict; entry; environment; farming; goal; skilled,both; challenge; demand; erosion; finding; need; provide; western
everest,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.9399514198303223,-0.07042828133164833,-17.41246095676479,-9.592741743882186,-7.607901002380913,-3.3274695802282004,-10.974059165796717,-0.03671388810707696,base; challenge; change; changing; climate; demand; environmental; erosion; fixed; further; human; increased; language; need; region; waste; western,address; agriculture; both; class; combination; completed; condition; continued; degradation; exponential; finding; flow; following; harvesting; identify; impact; include; infrastructure; level; modern; network; numerous; planning; potential; previous; provide; rapid; sector; sequence,effect; entry; farming; focus; skilled; total; trained,challenge; demand; environmental; erosion; further; increased; language; need; western
everest,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.0,0.9321050643920898,0.12289211490509944,-11.763636363636408,-3.2638842792344462,0.2839697524775602,-2.488136356089239,-6.417313792851871,-0.030130919188094504,base; both; change; changing; climate; condition; demand; environmental; erosion; finding; fixed; human; level; need; network; previous; provide; region; waste; western,address; agriculture; challenge; class; combination; completed; continued; degradation; exponential; flow; following; further; harvesting; identify; impact; include; increased; infrastructure; language; modern; numerous; planning; potential; rapid; sector; sequence,compare; effect; example; farming; study,both; condition; demand; environmental; erosion; finding; network; previous; provide; western
everest,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.2,0.9239898920059204,-0.11657094798660039,-10.821619556913674,-8.344202898550748,-6.147306843267131,-3.0760029676017915,-8.220414395745024,-0.03946466957908605,base; change; changing; climate; erosion; finding; fixed; human; increased; need; region; waste; western,address; agriculture; both; challenge; class; combination; completed; condition; continued; degradation; demand; environmental; exponential; flow; following; further; harvesting; identify; impact; include; infrastructure; language; level; modern; network; numerous; planning; potential; previous; provide; rapid; sector; sequence,compare; entry; environment; farming; shape; trained; use,erosion; finding; increased; need; western
everest,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.5,0.9341790676116943,-0.0035096778805978335,-18.79220779220782,-8.154059956323238,-6.642967220625621,-3.0138613745463054,-9.19052907366708,-0.040684027589902944,base; change; changing; climate; condition; continued; erosion; fixed; human; increased; language; level; network; region; waste; western,address; agriculture; both; challenge; class; combination; completed; degradation; demand; environmental; exponential; finding; flow; following; further; harvesting; identify; impact; include; infrastructure; modern; need; numerous; planning; potential; previous; provide; rapid; sector; sequence,affect; compare; effect; entry; environment; farming; needed; study; trained,changing; condition; continued; erosion; increased; language; network; western
everest,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,0.9577925205230713,-0.27018150423526033,-15.449742038783143,-13.82483407828795,-12.118259224219514,-3.023968089891941,-2.0119905138742666,-0.03590795169742539,address; agriculture; base; challenge; change; changing; class; climate; condition; demand; environmental; erosion; finding; fixed; further; human; increased; language; level; need; planning; region; waste; western,both; combination; completed; continued; degradation; exponential; flow; following; harvesting; identify; impact; include; infrastructure; modern; network; numerous; potential; previous; provide; rapid; sector; sequence,growth; low; working,agriculture; challenge; class; condition; demand; environmental; erosion; finding; further; increased; language; need; planning; western
everest,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,0.9583554267883301,-0.279048005359525,-9.9764183185236,-12.214948835486439,-9.983619527632925,-3.1874553580159954,-4.198472131682053,-0.03375038386480034,address; agriculture; base; both; challenge; change; changing; class; climate; condition; demand; erosion; fixed; further; harvesting; human; increased; language; level; modern; need; region; waste; western,combination; completed; continued; degradation; environmental; exponential; finding; flow; following; identify; impact; include; infrastructure; network; numerous; planning; potential; previous; provide; rapid; sector; sequence,effect; environment; growth,agriculture; both; challenge; class; condition; demand; erosion; further; harvesting; increased; language; modern; need; western
everest,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,0.9456695318222046,-0.20270909081606917,-8.753746253746272,-9.63986896328197,-7.670935161851219,-3.1245424545424534,-9.888480627862137,-0.03760795642622852,base; both; challenge; change; changing; class; climate; demand; environmental; erosion; finding; fixed; human; increased; level; need; network; region; waste; western,address; agriculture; combination; completed; condition; continued; degradation; exponential; flow; following; further; harvesting; identify; impact; include; infrastructure; language; modern; numerous; planning; potential; previous; provide; rapid; sector; sequence,conflict; effect; entry; farming; working,both; challenge; class; demand; environmental; erosion; finding; increased; need; network; western
loterry,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.9367089867591858,1.3164544649035355,-42.211363636363615,14.683075480543835,20.090909090909065,-2.3562413766144417,14.073797234113613,-0.028279629974545223,analysis; domestic; economics; effect; employ; need; product; range; report; research; study; table; total; voluntary,anticipated; author; employed; existing; further; generating; however; likely; measurable; proportion; purchased; supported; transform; use,change; contact; expected; important; increased; working,analysis; domestic; economics; employ; need; product; range; report; research; table; voluntary
